No,Manggarai,BNI City,Duri,Rawa Buaya,Batu Ceper,Bandara Soekarno-Hatta,Relasi
1,05:00,05:05,05:24,05:35,05:44,05:56,Manggarai - Bandara Soekarno-Hatta
2,05:30,05:35,05:54,06:05,06:14,06:26,Manggarai - Bandara Soekarno-Hatta
3,06:00,06:05,06:24,06:35,06:44,06:56,Manggarai - Bandara Soekarno-Hatta
4,06:30,06:35,06:54,07:05,07:14,07:26,Manggarai - Bandara Soekarno-Hatta
5,07:00,07:05,07:24,07:35,07:44,07:56,Manggarai - Bandara Soekarno-Hatta
6,07:30,07:35,07:54,08:05,08:14,08:26,Manggarai - Bandara Soekarno-Hatta
7,08:00,08:05,08:24,08:35,08:44,08:56,Manggarai - Bandara Soekarno-Hatta
8,08:30,08:35,08:54,09:05,09:14,09:26,Manggarai - Bandara Soekarno-Hatta
9,09:00,09:05,09:24,09:35,09:44,09:56,Manggarai - Bandara Soekarno-Hatta
10,10:00,10:05,10:24,10:35,10:44,10:56,Manggarai - Bandara Soekarno-Hatta
11,10:30,10:35,10:54,11:05,11:14,11:26,Manggarai - Bandara Soekarno-Hatta
12,11:00,11:05,11:24,11:35,11:44,11:56,Manggarai - Bandara Soekarno-Hatta
13,11:30,11:35,11:54,12:05,12:14,12:26,Manggarai - Bandara Soekarno-Hatta
14,12:30,12:35,12:54,13:05,13:14,13:26,Manggarai - Bandara Soekarno-Hatta
15,13:00,13:05,13:24,13:35,13:44,13:56,Manggarai - Bandara Soekarno-Hatta
16,13:30,13:35,13:54,14:05,14:14,14:26,Manggarai - Bandara Soekarno-Hatta
17,14:00,14:05,14:24,14:35,14:44,14:56,Manggarai - Bandara Soekarno-Hatta
18,14:30,14:35,14:54,15:05,15:14,15:26,Manggarai - Bandara Soekarno-Hatta
19,15:00,15:05,15:24,15:35,15:44,15:56,Manggarai - Bandara Soekarno-Hatta
20,15:30,15:35,15:54,16:05,16:14,16:26,Manggarai - Bandara Soekarno-Hatta
21,16:00,16:05,16:24,16:35,16:44,16:56,Manggarai - Bandara Soekarno-Hatta
22,16:30,16:35,16:54,17:05,17:14,17:26,Manggarai - Bandara Soekarno-Hatta
23,17:00,17:05,17:24,17:35,17:44,17:56,Manggarai - Bandara Soekarno-Hatta
24,17:30,17:35,17:54,18:05,18:14,18:26,Manggarai - Bandara Soekarno-Hatta
25,18:00,18:05,18:24,18:35,18:44,18:56,Manggarai - Bandara Soekarno-Hatta
26,18:30,18:35,18:54,19:05,19:14,19:26,Manggarai - Bandara Soekarno-Hatta
27,19:00,19:05,19:24,19:35,19:44,19:56,Manggarai - Bandara Soekarno-Hatta
28,19:30,19:35,19:54,20:05,20:14,20:26,Manggarai - Bandara Soekarno-Hatta
29,20:00,20:05,20:24,20:35,20:44,20:56,Manggarai - Bandara Soekarno-Hatta
30,20:30,20:35,20:54,21:05,21:14,21:26,Manggarai - Bandara Soekarno-Hatta
31,21:00,21:05,21:24,21:35,21:44,21:56,Manggarai - Bandara Soekarno-Hatta
32,21:30,21:35,21:54,22:05,22:14,22:26,Manggarai - Bandara Soekarno-Hatta
